country_id,date,cases,deaths,recoveries,tests,tests_units,death_rate,handwashing_facilities,hospital_beds_per_100k,source_id
1,17/05/2020,6402,168,-1,-1,597.029,37.746,0.5,0,0
1,18/05/2020,6664,169,-1,-1,597.029,37.746,0.5,0,0
1,19/05/2020,7072,173,-1,-1,597.029,37.746,0.5,0,0
1,20/05/2020,7653,178,-1,-1,597.029,37.746,0.5,0,0
1,21/05/2020,8145,187,-1,-1,597.029,37.746,0.5,0,0
1,22/05/2020,8676,193,-1,-1,597.029,37.746,0.5,0,0
1,23/05/2020,9216,205,-1,-1,597.029,37.746,0.5,0,0
1,24/05/2020,9998,216,-1,-1,597.029,37.746,0.5,0,0
1,25/05/2020,10582,218,-1,-1,597.029,37.746,0.5,0,0
1,26/05/2020,11173,219,-1,-1,597.029,37.746,0.5,0,0
1,27/05/2020,11831,220,-1,-1,597.029,37.746,0.5,0,0
1,28/05/2020,12456,227,-1,-1,597.029,37.746,0.5,0,0
1,29/05/2020,13036,235,-1,-1,597.029,37.746,0.5,0,0
1,30/05/2020,13659,246,-1,-1,597.029,37.746,0.5,0,0
5,22/03/2020,2,0,-1,-1,276.045,26.664,-1,0,0
5,23/03/2020,2,0,-1,-1,276.045,26.664,-1,0,0
5,24/03/2020,2,0,-1,-1,276.045,26.664,-1,0,0
5,25/03/2020,2,0,-1,-1,276.045,26.664,-1,0,0
5,26/03/2020,2,0,-1,-1,276.045,26.664,-1,0,0
5,27/03/2020,3,0,-1,-1,276.045,26.664,-1,0,0
5,28/03/2020,4,0,-1,-1,276.045,26.664,-1,0,0
5,29/03/2020,4,0,-1,-1,276.045,26.664,-1,0,0
5,30/03/2020,7,2,-1,-1,276.045,26.664,-1,0,0
5,31/03/2020,7,2,-1,-1,276.045,26.664,-1,0,0
5,01/04/2020,7,2,-1,-1,276.045,26.664,-1,0,0
5,02/04/2020,8,2,-1,-1,276.045,26.664,-1,0,0
5,03/04/2020,8,2,-1,-1,276.045,26.664,-1,0,0
5,04/04/2020,8,2,-1,-1,276.045,26.664,-1,0,0
5,05/04/2020,10,2,-1,-1,276.045,26.664,-1,0,0
5,06/04/2020,14,2,-1,-1,276.045,26.664,-1,0,0
5,07/04/2020,16,2,-1,-1,276.045,26.664,-1,0,0
5,08/04/2020,17,2,-1,-1,276.045,26.664,-1,0,0
5,09/04/2020,19,2,-1,-1,276.045,26.664,-1,0,0
5,10/04/2020,19,2,-1,-1,276.045,26.664,-1,0,0
5,11/04/2020,19,2,-1,-1,276.045,26.664,-1,0,0
5,12/04/2020,19,2,-1,-1,276.045,26.664,-1,0,0
5,13/04/2020,19,2,-1,-1,276.045,26.664,-1,0,0
5,14/04/2020,19,2,-1,-1,276.045,26.664,-1,0,0
5,15/04/2020,19,2,-1,-1,276.045,26.664,-1,0,0
5,16/04/2020,19,2,-1,-1,276.045,26.664,-1,0,0
5,17/04/2020,19,2,-1,-1,276.045,26.664,-1,0,0
5,18/04/2020,19,2,-1,-1,276.045,26.664,-1,0,0
5,19/04/2020,24,2,-1,-1,276.045,26.664,-1,0,0
5,20/04/2020,24,2,-1,-1,276.045,26.664,-1,0,0
5,21/04/2020,24,2,-1,-1,276.045,26.664,-1,0,0
5,22/04/2020,24,2,-1,-1,276.045,26.664,-1,0,0
5,23/04/2020,24,2,-1,-1,276.045,26.664,-1,0,0
5,24/04/2020,25,2,-1,-1,276.045,26.664,-1,0,0
5,25/04/2020,25,2,-1,-1,276.045,26.664,-1,0,0
5,26/04/2020,25,2,-1,-1,276.045,26.664,-1,0,0
5,27/04/2020,26,2,-1,-1,276.045,26.664,-1,0,0
5,28/04/2020,27,2,-1,-1,276.045,26.664,-1,0,0
5,29/04/2020,27,2,-1,-1,276.045,26.664,-1,0,0
5,30/04/2020,27,2,-1,-1,276.045,26.664,-1,0,0
5,01/05/2020,27,2,-1,-1,276.045,26.664,-1,0,0
5,02/05/2020,29,2,-1,-1,276.045,26.664,-1,0,0
5,03/05/2020,35,2,-1,-1,276.045,26.664,-1,0,0
5,04/05/2020,35,2,-1,-1,276.045,26.664,-1,0,0
5,05/05/2020,35,2,-1,-1,276.045,26.664,-1,0,0
5,06/05/2020,36,2,-1,-1,276.045,26.664,-1,0,0
5,07/05/2020,36,2,-1,-1,276.045,26.664,-1,0,0
5,08/05/2020,36,2,-1,-1,276.045,26.664,-1,0,0
5,09/05/2020,43,2,-1,-1,276.045,26.664,-1,0,0
5,10/05/2020,43,2,-1,-1,276.045,26.664,-1,0,0
5,11/05/2020,45,2,-1,-1,276.045,26.664,-1,0,0
5,12/05/2020,45,2,-1,-1,276.045,26.664,-1,0,0
5,13/05/2020,45,2,-1,-1,276.045,26.664,-1,0,0
5,14/05/2020,45,2,-1,-1,276.045,26.664,-1,0,0
5,15/05/2020,48,2,-1,-1,276.045,26.664,-1,0,0
5,16/05/2020,48,2,-1,-1,276.045,26.664,-1,0,0
5,17/05/2020,48,2,-1,-1,276.045,26.664,-1,0,0
5,18/05/2020,48,2,-1,-1,276.045,26.664,-1,0,0
5,19/05/2020,48,2,-1,-1,276.045,26.664,-1,0,0
5,20/05/2020,50,2,-1,-1,276.045,26.664,-1,0,0
5,21/05/2020,52,3,-1,-1,276.045,26.664,-1,0,0
5,22/05/2020,58,3,-1,-1,276.045,26.664,-1,0,0
5,23/05/2020,60,3,-1,-1,276.045,26.664,-1,0,0
5,24/05/2020,60,3,-1,-1,276.045,26.664,-1,0,0
5,25/05/2020,69,4,-1,-1,276.045,26.664,-1,0,0
5,26/05/2020,69,4,-1,-1,276.045,26.664,-1,0,0
5,27/05/2020,71,4,-1,-1,276.045,26.664,-1,0,0
5,28/05/2020,71,4,-1,-1,276.045,26.664,-1,0,0
5,29/05/2020,73,4,-1,-1,276.045,26.664,-1,0,0
5,30/05/2020,77,4,-1,-1,276.045,26.664,-1,0,0
2,09/03/2020,2,0,-1,-1,304.195,-1.1,2.89,0,0
2,10/03/2020,6,0,-1,-1,304.195,-1.1,2.89,0,0
2,11/03/2020,10,0,-1,-1,304.195,-1.1,2.89,0,0
2,12/03/2020,11,1,-1,-1,304.195,-1.1,2.89,0,0
2,13/03/2020,23,1,-1,-1,304.195,-1.1,2.89,0,0
2,14/03/2020,33,1,-1,-1,304.195,-1.1,2.89,0,0
2,15/03/2020,38,1,-1,-1,304.195,-1.1,2.89,0,0
2,16/03/2020,42,1,-1,-1,304.195,-1.1,2.89,0,0
2,17/03/2020,51,1,-1,-1,304.195,-1.1,2.89,0,0
2,18/03/2020,55,1,-1,-1,304.195,-1.1,2.89,0,0
2,19/03/2020,59,2,-1,-1,304.195,-1.1,2.89,0,0
2,20/03/2020,70,2,-1,-1,304.195,-1.1,2.89,0,0
2,21/03/2020,70,2,-1,-1,304.195,-1.1,2.89,0,0
2,22/03/2020,76,2,-1,-1,304.195,-1.1,2.89,0,0
2,23/03/2020,89,2,-1,-1,304.195,-1.1,2.89,0,0
2,24/03/2020,100,4,-1,-1,304.195,-1.1,2.89,0,0
2,25/03/2020,123,5,-1,-1,304.195,-1.1,2.89,0,0
2,26/03/2020,146,5,-1,-1,304.195,-1.1,2.89,0,0
2,27/03/2020,174,6,-1,-1,304.195,-1.1,2.89,0,0
2,28/03/2020,186,9,-1,-1,304.195,-1.1,2.89,0,0
2,29/03/2020,197,10,-1,-1,304.195,-1.1,2.89,0,0
2,30/03/2020,212,10,-1,-1,304.195,-1.1,2.89,0,0
2,31/03/2020,223,12,-1,-1,304.195,-1.1,2.89,0,0
2,01/04/2020,243,15,-1,-1,304.195,-1.1,2.89,0,0
2,02/04/2020,259,15,-1,-1,304.195,-1.1,2.89,0,0
2,03/04/2020,277,16,-1,-1,304.195,-1.1,2.89,0,0
2,04/04/2020,304,17,-1,-1,304.195,-1.1,2.89,0,0
2,05/04/2020,333,19,-1,-1,304.195,-1.1,2.89,0,0
2,06/04/2020,361,21,-1,-1,304.195,-1.1,2.89,0,0
2,07/04/2020,377,22,-1,-1,304.195,-1.1,2.89,0,0
2,08/04/2020,383,22,-1,-1,304.195,-1.1,2.89,0,0
2,09/04/2020,400,22,-1,-1,304.195,-1.1,2.89,0,0
2,10/04/2020,409,23,-1,-1,304.195,-1.1,2.89,0,0
2,11/04/2020,416,23,-1,-1,304.195,-1.1,2.89,0,0
2,12/04/2020,433,23,-1,-1,304.195,-1.1,2.89,0,0
2,13/04/2020,446,23,-1,-1,304.195,-1.1,2.89,0,0
2,14/04/2020,467,23,-1,-1,304.195,-1.1,2.89,0,0
2,15/04/2020,475,24,-1,-1,304.195,-1.1,2.89,0,0
2,16/04/2020,494,25,-1,-1,304.195,-1.1,2.89,0,0
2,17/04/2020,518,26,-1,-1,304.195,-1.1,2.89,0,0
2,18/04/2020,539,26,-1,-1,304.195,-1.1,2.89,0,0
2,19/04/2020,548,26,-1,-1,304.195,-1.1,2.89,0,0
2,20/04/2020,562,26,-1,-1,304.195,-1.1,2.89,0,0
2,21/04/2020,584,26,-1,-1,304.195,-1.1,2.89,0,0
2,22/04/2020,609,26,-1,-1,304.195,-1.1,2.89,0,0
2,23/04/2020,634,27,-1,-1,304.195,-1.1,2.89,0,0
2,24/04/2020,663,27,-1,-1,304.195,-1.1,2.89,0,0
2,25/04/2020,678,27,-1,-1,304.195,-1.1,2.89,0,0
2,26/04/2020,712,27,-1,-1,304.195,-1.1,2.89,0,0
2,27/04/2020,726,28,-1,-1,304.195,-1.1,2.89,0,0
2,28/04/2020,736,28,-1,-1,304.195,-1.1,2.89,0,0
2,29/04/2020,750,30,-1,-1,304.195,-1.1,2.89,0,0
2,30/04/2020,766,31,-1,-1,304.195,-1.1,2.89,0,0
2,01/05/2020,773,31,-1,-1,304.195,-1.1,2.89,0,0
2,02/05/2020,782,31,-1,-1,304.195,-1.1,2.89,0,0
2,03/05/2020,789,31,-1,-1,304.195,-1.1,2.89,0,0
2,04/05/2020,795,31,-1,-1,304.195,-1.1,2.89,0,0
2,05/05/2020,803,31,-1,-1,304.195,-1.1,2.89,0,0
2,06/05/2020,820,31,-1,-1,304.195,-1.1,2.89,0,0
2,07/05/2020,832,31,-1,-1,304.195,-1.1,2.89,0,0
2,08/05/2020,842,31,-1,-1,304.195,-1.1,2.89,0,0
2,09/05/2020,850,31,-1,-1,304.195,-1.1,2.89,0,0
2,10/05/2020,856,31,-1,-1,304.195,-1.1,2.89,0,0
2,11/05/2020,868,31,-1,-1,304.195,-1.1,2.89,0,0
2,12/05/2020,872,31,-1,-1,304.195,-1.1,2.89,0,0
2,13/05/2020,876,31,-1,-1,304.195,-1.1,2.89,0,0
2,14/05/2020,880,31,-1,-1,304.195,-1.1,2.89,0,0
2,15/05/2020,898,31,-1,-1,304.195,-1.1,2.89,0,0
2,16/05/2020,916,31,-1,-1,304.195,-1.1,2.89,0,0
2,17/05/2020,933,31,-1,-1,304.195,-1.1,2.89,0,0
2,18/05/2020,946,31,-1,-1,304.195,-1.1,2.89,0,0
2,19/05/2020,948,31,-1,-1,304.195,-1.1,2.89,0,0
2,20/05/2020,949,31,-1,-1,304.195,-1.1,2.89,0,0
2,21/05/2020,964,31,-1,-1,304.195,-1.1,2.89,0,0
2,22/05/2020,969,31,-1,-1,304.195,-1.1,2.89,0,0
2,23/05/2020,981,31,-1,-1,304.195,-1.1,2.89,0,0
2,24/05/2020,989,31,-1,-1,304.195,-1.1,2.89,0,0
2,25/05/2020,998,32,-1,-1,304.195,-1.1,2.89,0,0
2,26/05/2020,1004,32,-1,-1,304.195,-1.1,2.89,0,0
2,27/05/2020,1029,33,-1,-1,304.195,-1.1,2.89,0,0
2,28/05/2020,1050,33,-1,-1,304.195,-1.1,2.89,0,0
2,29/05/2020,1076,33,-1,-1,304.195,-1.1,2.89,0,0
2,30/05/2020,1099,33,-1,-1,304.195,-1.1,2.89,0,0
4,03/03/2020,1,0,-1,-1,109.135,-1.1,-1,0,0
4,14/03/2020,2,0,-1,-1,109.135,-1.1,-1,0,0
4,16/03/2020,5,0,-1,-1,109.135,-1.1,-1,0,0
4,17/03/2020,14,0,-1,-1,109.135,-1.1,-1,0,0
4,18/03/2020,14,0,-1,-1,109.135,-1.1,-1,0,0
4,19/03/2020,53,0,-1,-1,109.135,-1.1,-1,0,0
4,20/03/2020,75,0,-1,-1,109.135,-1.1,-1,0,0
4,21/03/2020,75,0,-1,-1,109.135,-1.1,-1,0,0
4,22/03/2020,88,0,-1,-1,109.135,-1.1,-1,0,0
4,23/03/2020,113,0,-1,-1,109.135,-1.1,-1,0,0
4,24/03/2020,133,0,-1,-1,109.135,-1.1,-1,0,0
4,25/03/2020,164,0,-1,-1,109.135,-1.1,-1,0,0
4,26/03/2020,188,0,-1,-1,109.135,-1.1,-1,0,0
4,27/03/2020,224,3,-1,-1,109.135,-1.1,-1,0,0
4,28/03/2020,267,3,-1,-1,109.135,-1.1,-1,0,0
4,29/03/2020,308,4,-1,-1,109.135,-1.1,-1,0,0
4,30/03/2020,334,6,-1,-1,109.135,-1.1,-1,0,0
4,31/03/2020,370,8,-1,-1,109.135,-1.1,-1,0,0
4,01/04/2020,376,12,-1,-1,109.135,-1.1,-1,0,0
4,02/04/2020,390,14,-1,-1,109.135,-1.1,-1,0,0
4,03/04/2020,428,15,-1,-1,109.135,-1.1,-1,0,0
4,04/04/2020,439,16,-1,-1,109.135,-1.1,-1,0,0
4,05/04/2020,466,17,-1,-1,109.135,-1.1,-1,0,0
4,06/04/2020,501,18,-1,-1,109.135,-1.1,-1,0,0
4,07/04/2020,526,21,-1,-1,109.135,-1.1,-1,0,0
4,08/04/2020,545,22,-1,-1,109.135,-1.1,-1,0,0
4,09/04/2020,564,23,-1,-1,109.135,-1.1,-1,0,0
4,10/04/2020,583,25,-1,-1,109.135,-1.1,-1,0,0
4,11/04/2020,601,26,-1,-1,109.135,-1.1,-1,0,0
4,12/04/2020,622,28,-1,-1,109.135,-1.1,-1,0,0
4,13/04/2020,638,29,-1,-1,109.135,-1.1,-1,0,0
4,14/04/2020,646,29,-1,-1,109.135,-1.1,-1,0,0
4,15/04/2020,659,31,-1,-1,109.135,-1.1,-1,0,0
4,16/04/2020,673,33,-1,-1,109.135,-1.1,-1,0,0
4,17/04/2020,682,33,-1,-1,109.135,-1.1,-1,0,0
4,18/04/2020,696,35,-1,-1,109.135,-1.1,-1,0,0
4,19/04/2020,704,35,-1,-1,109.135,-1.1,-1,0,0
4,20/04/2020,713,36,-1,-1,109.135,-1.1,-1,0,0
4,21/04/2020,717,36,-1,-1,109.135,-1.1,-1,0,0
4,22/04/2020,717,37,-1,-1,109.135,-1.1,-1,0,0
4,23/04/2020,723,37,-1,-1,109.135,-1.1,-1,0,0
4,24/04/2020,724,37,-1,-1,109.135,-1.1,-1,0,0
4,25/04/2020,731,40,-1,-1,109.135,-1.1,-1,0,0
4,26/04/2020,733,40,-1,-1,109.135,-1.1,-1,0,0
4,27/04/2020,740,40,-1,-1,109.135,-1.1,-1,0,0
4,28/04/2020,743,40,-1,-1,109.135,-1.1,-1,0,0
4,29/04/2020,743,41,-1,-1,109.135,-1.1,-1,0,0
4,30/04/2020,743,42,-1,-1,109.135,-1.1,-1,0,0
4,01/05/2020,745,42,-1,-1,109.135,-1.1,-1,0,0
4,02/05/2020,746,43,-1,-1,109.135,-1.1,-1,0,0
4,03/05/2020,747,44,-1,-1,109.135,-1.1,-1,0,0
4,04/05/2020,748,45,-1,-1,109.135,-1.1,-1,0,0
4,05/05/2020,750,45,-1,-1,109.135,-1.1,-1,0,0
4,06/05/2020,751,46,-1,-1,109.135,-1.1,-1,0,0
4,07/05/2020,751,46,-1,-1,109.135,-1.1,-1,0,0
4,08/05/2020,752,47,-1,-1,109.135,-1.1,-1,0,0
4,09/05/2020,752,47,-1,-1,109.135,-1.1,-1,0,0
4,10/05/2020,754,48,-1,-1,109.135,-1.1,-1,0,0
4,11/05/2020,755,48,-1,-1,109.135,-1.1,-1,0,0
4,12/05/2020,756,48,-1,-1,109.135,-1.1,-1,0,0
4,13/05/2020,758,48,-1,-1,109.135,-1.1,-1,0,0
4,14/05/2020,760,49,-1,-1,109.135,-1.1,-1,0,0
4,15/05/2020,761,49,-1,-1,109.135,-1.1,-1,0,0
4,16/05/2020,761,49,-1,-1,109.135,-1.1,-1,0,0
4,17/05/2020,761,51,-1,-1,109.135,-1.1,-1,0,0
4,18/05/2020,761,51,-1,-1,109.135,-1.1,-1,0,0
4,19/05/2020,761,51,-1,-1,109.135,-1.1,-1,0,0
4,20/05/2020,761,51,-1,-1,109.135,-1.1,-1,0,0
4,21/05/2020,762,51,-1,-1,109.135,-1.1,-1,0,0
4,22/05/2020,762,51,-1,-1,109.135,-1.1,-1,0,0
4,23/05/2020,762,51,-1,-1,109.135,-1.1,-1,0,0
4,24/05/2020,762,51,-1,-1,109.135,-1.1,-1,0,0
4,25/05/2020,763,51,-1,-1,109.135,-1.1,-1,0,0
4,26/05/2020,763,51,-1,-1,109.135,-1.1,-1,0,0
4,27/05/2020,763,51,-1,-1,109.135,-1.1,-1,0,0
4,28/05/2020,763,51,-1,-1,109.135,-1.1,-1,0,0
4,29/05/2020,763,51,-1,-1,109.135,-1.1,-1,0,0
4,30/05/2020,764,51,-1,-1,109.135,-1.1,-1,0,0
185,31/12/2019,0,0,-1,-1,317.84,-1.1,1.2,0,0
185,01/01/2020,0,0,-1,-1,317.84,-1.1,1.2,0,0
185,02/01/2020,0,0,-1,-1,317.84,-1.1,1.2,0,0
185,03/01/2020,0,0,-1,-1,317.84,-1.1,1.2,0,0
185,04/01/2020,0,0,-1,-1,317.84,-1.1,1.2,0,0
185,05/01/2020,0,0,-1,-1,317.84,-1.1,1.2,0,0
185,06/01/2020,0,0,-1,-1,317.84,-1.1,1.2,0,0
185,07/01/2020,0,0,-1,-1,317.84,-1.1,1.2,0,0
185,08/01/2020,0,0,-1,-1,317.84,-1.1,1.2,0,0
185,09/01/2020,0,0,-1,-1,317.84,-1.1,1.2,0,0
185,10/01/2020,0,0,-1,-1,317.84,-1.1,1.2,0,0
185,11/01/2020,0,0,-1,-1,317.84,-1.1,1.2,0,0
185,12/01/2020,0,0,-1,-1,317.84,-1.1,1.2,0,0
185,13/01/2020,0,0,-1,-1,317.84,-1.1,1.2,0,0
185,14/01/2020,0,0,-1,-1,317.84,-1.1,1.2,0,0
185,15/01/2020,0,0,-1,-1,317.84,-1.1,1.2,0,0
185,16/01/2020,0,0,-1,-1,317.84,-1.1,1.2,0,0
185,17/01/2020,0,0,-1,-1,317.84,-1.1,1.2,0,0
185,18/01/2020,0,0,-1,-1,317.84,-1.1,1.2,0,0
185,19/01/2020,0,0,-1,-1,317.84,-1.1,1.2,0,0
185,20/01/2020,0,0,-1,-1,317.84,-1.1,1.2,0,0
